Variable;Libelle;Type;Format;LibelleDet;RefModa
IDENT_DEP;uid_DEP;c;$16.;Identifiant déplacement;
IDENT_MEN;uid_MEN;c;$13.;Identifiant ménage;
IDENT_IND;uid_PER;c;$15.;Identifiant individu;
num_dep;id_DEP;i;BEST12.;Numéro du déplacement;
nb_dep;sm_DEP;i;BEST12.;Nombre de déplacements dans la journée;
POND_JOUR;CoeffJr;d;;Poids du jour;
mobloc;depLocal;f;BEST12.;Deplct < 80km(vo) du domicile;
MDATE_jour;EnqDate_JS;f;;Jour de la semaine du déplacement;
MDATE_mois;EnqDate_M;f;;Mois du déplacement;
MDATE_delai;EnqDate_delta;i;;Délai (en jours) entre la date d'enquête et le jour du déplacement;
TYPEJOUR;JoSem;f;BEST12.;Type du jour de déplacement;jour
VAC_SCOL;Vacances;f;;Période scolaire du dplct;1 : Oui / 0 : Non
MORIDOM;Pr_Dom;f;$1.;Départ du domicile pour le PREMIER déplacement de la journée;O/N
MORI1MOTIF;Pr_Mot;f;$4.;Motif à l'origine du 1er déplacement;motif
MORIHDEP;O_Hr;c;TIME8.;Heure de depart du dplct;
MMOTIFDES;D_Motif;f;$4.;Motif de déplacement;motif
MOTPREC;O_Motif;f;$4.;Motif à l'origine du déplacement;
MMOTIFPROFRAB;D_Entreprise;f;$1.;L'établissement où l'enquêté s'est rendu appartient à l'entreprise qui l'emploie;O/N
MMOTIFDACC;D_MotAc;f;$4.;Motif de déplacement du passager;motif
NUTS_ORI;O_NUTS;c;$4.;Code NUTS de départ du déplacement;
REG_ORI;O_Reg;c;$29.;Région de départ du déplacement;
oldREG_ORI;O_RegAnc;c;$29.;Ancienne région de départ du déplacement;
PAYS_ORI;O_Pays;f;$255.;Pays de départ du dplct;
MEMDESCOM;D_MemeCom;f;$1.;Point d'arrivée du déplacement dans la même commune que point de départ;1 : Oui / 0 : Non
NUTS_DES;D_NUTS;c;$4.;Code NUTS d'arrivée du déplacement;
