Variable;Type;Position;Taille;Libelle
MP1;f;1;1;CF
ANNE;c;2;6;EnqDate
MTIR;c;8;3;ZT
MP2;c;11;3;ZF
ECH;c;14;4;Ech
M1;f;18;1;LogType
M2;f;19;1;LogOcc
M3D;f;20;1;LogInternet
M5;i;21;1;VehN
M7A1;f;22;1;Veh1_Eng
M13A;i;23;4;Veh1_Ann
M14A;i;27;2;Veh1_Psc
M7B1;f;29;1;Veh2_Eng
M13B;i;30;4;Veh2_Ann
M14B;i;34;2;Veh2_Psc
M7C1;f;36;1;Veh3_Eng
M13C;i;37;4;Veh3_Ann
M14C;i;41;2;Veh3_Psc
M7D1;f;43;1;Veh4_Eng
M13D;i;44;4;Veh4_Ann
M14D;i;48;2;Veh4_Psc
M6;i;50;1;DrmN
M7;i;51;2;VelN
MLA;i;53;4;LogAnnee
MLB1;f;57;2;LogCrit_A
MLB2;f;59;2;LogCrit_B
MLC;c;61;5;LogComPrec
MLD;f;55;1;LogOccPrec
COEM;d;67;8;Coeff
