Variable;Type;Position;Taille;Libelle;ConformeCerema;LibDet
ident_men;c;;;uid_MEN;oui;IDENTIFIANT DU MENAGE
ident_log;c;;;uid_LOG;;Identifiant du logement
vague_enq;i;;;enqEMP_vague;oui;Num?ro de vague
BS;c;;;enqEMP_log;;Num?ro de m?nage dans le logement
pond_menC;d;;;Coeff;oui;Poids m?nage
NPERS;i;;;nPer;;Nombre de personnes du m?nage
NCOUPLES;i;;;nCpl;;Nombre de couples dans le m?nage
NENFANTS;i;;;nEnf;;Nombre d'enfants dans le m?nage
NACTIFS;i;;;nActifs;;Nombre d'actifs dans le m?nage
NENFACT;i;;;nEnfActifs;;Nombre d'enfants actifs dans le m?nage
TYPMEN5;f;;;TypoMen_EMP;;Type de m?nage au sens du TCM
TYPMEN15;f;;;TypoMen15_EMP;;Type de m?nage d?taill? au sens du TCM
PRPERM;f;;;RefPermanence;;Permanence de la personne de r?f?rence
PRAN;f;;;Breadwinner;;Principal apporteur de ressources sur l'ann?e (dans/hors m?nage)
NPGREF;i;;;nPerRef;;Nombre de personnes du groupe de r?f?rence
PREF;i;;;PerRef;;Num?ro d'ordre de la personne de r?f?rence (PR)
SEXEPR;f;;;PerRef_Genre;;Sexe de la PR
AGEPR;i;;;PerRef_Age;;Age de la PR au moment de l'enqu?te
AGPR;i;;;PerRef_Age31Dec;;Age de la PR au 31 d?cembre de l'ann?e de l'enqu?te
NAIS7PR;c;;;PerRef_LieuNsc;;Lieu de naissance de la PR (code regroup?)
COUPLEPR;f;;;PerRef_Cpl;;Vie en couple de la PR
SITUAPR;f;;;PerRef_Activ;;Situation de la PR vis-à-vis du travail
CS42PR;f;;;PerRef_PCS42;;Cat?gorie socioprofessionnelle d?taill?e de la PR
CS24PR;f;;;PerRef_PCS24;;Cat?gorie socioprofessionnelle regroup?e de la PR
CODCSPR;f;;;PerRef_PCS8;;Cat?gorie socio-professionnelle (CS) de la PR en activit?
NATIO7PR;f;;;PerRef_Nat;;Nationalit? de la PR (code regroup?)
DIPDETPR;f;;;PerRef_NivEtu;;Dipl?me le plus ?lev? de la PR (code regroup?)
CSCJDCD;f;;;PerCj_Mort_PCS8;;Cat?gorie socioprofessionnelle du conjoint d?c?d? de la PR
PCONJ;i;;;PerCj;;Num?ro d'ordre du conjoint de la personne de r?f?rence (PR)
SEXECJ;f;;;PerCj_Genre;;Sexe du conjoint de la PR
AGECJ;i;;;PerCj_Age;;Age du conjoint de la PR au moment de l'enqu?te
AGCJ;i;;;PerCj_Age31Dec;;Age du conjoint de la PR au 31 d?cembre de l'ann?e de l'enqu?te
NAIS7CJ;c;;;PerCj_LieuNsc;;Lieu de naissance du conjoint de la PR (code regroup?)
SITUACJ;f;;;PerCj_Activ;;Situation du conjoint de la PR vis-?-vis du travail
CS42CJ;f;;;PerCj_PCS42;;Cat?gorie socioprofessionnelle d?taill?e du conjoint de la PR
CS24CJ;f;;;PerCj_PCS24;;Cat?gorie socioprofessionnelle regroup?e du conjoint de la PR
CODCSCJ;f;;;PerCj_PCS8;;Cat?gorie socio-professionnelle (CS) du conjoint de la PR en activit?
NATIO7CJ;f;;;PerCj_Nat;;Nationalit? du conjoint de la PR (code regroup?)
