Variable;Libelle;Type;Format;LibDet;RefModa
IDENT_NUMVEH;uid_VEH2;c;$15.;Identifiant véh. tous types;
IDENT_MEN;uid_MEN;c;$13.;Identifiant ménage;
NUM_VEH;id_VEH;c;;Numéro du véhicule à disposition du ménage;
pond_veh;CoeffVeh;d;;Poids du véhicule;
KVROUL;si_Roule;f;;Ce véhicule a roulé depuis 1 ans;O/N
cylindree_fin;Cylindree;d;;Cylindrée (en litres);
energie_fin;Energie_Det;f;;Energie du véhicule (mention carte grise);Energie carte grise
energie_agrege;Energie;f;;Energie du véhicule (agrege);Energie agrégé
hybride;Energie_Hyb;f;;Type d'hybride (complément énergie agrégée);Type hybride
energie_statinfo;Energie_Statinf;f;;Energie du véhicule (Statinfo);Energie Diffusion Sdes
energie_CritAir;Energie_Critair;f;;Energie du véhicule (Crit'air);Energie Crit'air
Critair;CritAir;f;;Vignette Crit'air (si connue);Vignette Crit’Air
puis_fisc_fin;Puissance;i;;Puissance fiscale;
ANNEE_1mec;Annee;i;;Année de 1ère mise en circulation;
age;Age_M;i;;Age du véhicule (en mois);
ANNEE_acq;AnneePropri;i;;Année de mise à disposition;
dur_acq;AgePropri_M;i;;Durée de possession (en mois);
KVAQUIV;Propri;f;;Propriétaire du véhicule;Propriétaire véhicule
KVAQUINO01;Propri_01;f;;01ième propriétaire cité du véhicule;
KVAQUINO02;Propri_02;f;;02ième propriétaire cité du véhicule;
KVAQUINO03;Propri_03;f;;03ième propriétaire cité du véhicule;
KVAQUINO04;Propri_04;f;;04ième propriétaire cité du véhicule;
KVAQUINO05;Propri_05;f;;05ième propriétaire cité du véhicule;
KVAQUINO06;Propri_06;f;;06ième propriétaire cité du véhicule;
KVAQUINO07;Propri_07;f;;07ième propriétaire cité du véhicule;
KVAQUINO08;Propri_08;f;;08ième propriétaire cité du véhicule;
KVAQUINO09;Propri_09;f;;09ième propriétaire cité du véhicule;
KVAQUINO10;Propri_10;f;;10ième propriétaire cité du véhicule;
KVAQUINO11;Propri_11;f;;11ième propriétaire cité du véhicule;
KVAQUINO12;Propri_12;f;;12ième propriétaire cité du véhicule;
KVAQUINO13;Propri_13;f;;13ième propriétaire cité du véhicule;
KVAQUINO14;Propri_14;f;;14ième propriétaire cité du véhicule;
KVAQUINO15;Propri_15;f;;15ième propriétaire cité du véhicule;
KVAQUINO16;Propri_16;f;;16ième propriétaire cité du véhicule;
KVAQUINO17;Propri_17;f;;17ième propriétaire cité du véhicule;
